stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
AAPL,229.0,5.170106613889175,6.903547446573627,7.680043887510777,10.028219113600311,3.1751160918875425,-28.75667320414084,22.682739954300104,-0.10432029862429006
MSFT,417.1400146484375,8.851035323446297,11.335533454764903,12.818430386524994,14.904398830472342,5.365131705530837,-19.840783086093893,24.64100070972296,0.043378242961225125
AMZN,178.5,5.051117376243468,6.494070008299546,7.314408842008419,9.018944571752877,3.0150309806043576,-15.163455095782098,19.68047446299522,-0.1574097427772254
TSLA,214.11000061035156,11.646471234032987,16.63371505029161,18.369314812322557,26.648811432510776,7.3920888987146025,-86.86771748051864,59.24093976053575,-0.37148513729650706
GOOGL,163.1634979248047,4.070177364553047,5.852555816356649,6.959875679306663,9.052681229606092,2.6861431999438716,-23.78847342234002,35.04022343190118,0.00369847857215679
GOOG,164.8929443359375,4.035596129282283,5.849751090550666,6.9103698789849375,9.04266693405055,2.6742177901225586,-20.939100576256322,31.25087821806929,0.01939016242479405
META,521.3099975585938,16.831054877566544,23.156790976157392,26.15203349109794,35.80615933953257,10.876472743599344,-67.38393921968668,126.11560423933133,-0.2516003325999112
NVDA,119.35979461669922,5.743968666891391,7.938229608110572,9.153789709209462,12.019581883810188,3.7372330901568582,-28.314774997482886,33.08666211806593,-0.1143716422457925
BRK-B,475.9200134277344,6.448530202287941,8.155257200417369,9.282197044979227,10.873784996836239,3.9326362391885126,-16.33582383978711,18.645015715445084,-0.010496070892434829
JPM,224.8000030517578,3.5935560522667913,5.490284437180718,6.747947664863716,9.025673143749424,2.5909277404890787,-23.36388891286805,26.758027960471026,0.19274537000598016
JNJ,165.86000061035156,2.4832567661651694,3.732499286521218,4.270259592623262,6.2372940307450175,1.6563108038393914,-21.141031954118347,12.020393685627056,-0.0240306916138899
UNH,590.2000122070312,12.26711138170981,18.734532510026096,21.416645305420616,31.605927641118523,8.590470166483938,-72.27456527419247,97.82494839503272,0.07721832183120153
HD,368.5,7.915293858644304,10.699475940792231,11.96929205829747,15.523407384038526,4.933629704660859,-32.4527747262012,28.665124022655448,-0.09848644441341749
PG,171.5399932861328,2.41267014009415,3.66733293834638,4.362119543563381,5.86045994200169,1.6327325041034713,-12.805697028164047,11.901005234501724,0.011583042322109879
V,276.3699951171875,4.148681799272936,5.859984042908973,6.858795645083262,8.733862821230066,2.696923149416255,-17.419956693549636,12.628486315284817,0.07936898728675723
BAC,40.486045837402344,0.9772988195717289,1.3601968105968294,1.589349639146178,2.0926501309958847,0.6036819433497009,-4.920805280702055,4.743546304202013,-0.03257620121311052
MA,483.3399963378906,7.442217514735489,10.841569024962348,11.902103672387113,18.187033440882924,5.128641061153518,-94.22091107956362,33.249757935111234,0.26425310455164697
PFE,29.010000228881836,0.7337904399035757,1.097547053527105,1.3029471610063013,1.7358524393484478,0.47556224861137913,-2.846575055773272,4.469658562901344,-0.006524879726467984
XOM,117.94000244140625,2.4691858347813707,3.2153541510355006,3.672973383758304,4.424137287001794,1.5248408739856751,-6.071937724316285,7.316710334855529,-0.0005581538327991609
DIS,90.37999725341797,1.947111468904538,3.3287846952927143,3.740249671335107,6.6538814002379745,1.68689474366712,-66.4607653118916,13.828753839518939,0.03195638368746819
CSCO,50.540000915527344,0.8407468112872536,1.3728474159791224,1.6479166272549435,2.4944763403716608,0.6321091297213887,-10.953218361962044,7.1971199104259185,0.02114411871217794
AVGO,162.82000732421875,6.795185271656777,9.388396343228514,10.787961238134471,13.805026579651832,4.799580707455417,-31.80530263302478,165.951987423052,-0.18219079195532628
ADBE,574.4099731445312,15.33918591079646,27.23088278705619,31.41493649898257,54.62604643269693,12.848058357764833,-247.14883319601068,203.71249361977277,0.5048345906632415
CVX,147.9499969482422,2.8655128401928494,4.532693189559626,5.329069632758262,7.793474565492729,1.9899407632486723,-29.089440820873406,16.039200064084326,0.07403711007119043
PEP,171.57351684570312,2.870406910384787,4.20904889281881,4.93018703617858,6.774989823550836,1.8842252122369771,-23.36123311966699,15.07028367676773,-0.005184335500553862
TMO,614.679443359375,12.860343926584164,18.59785569803832,22.676607953933626,28.4478163321964,8.303767532410955,-51.72518403796141,101.59412368070707,-0.3113977213308127
KO,71.97655487060547,0.9301101077048628,1.3997803799956903,1.734910492375846,2.180919271312232,0.6100910935116888,-4.697339433179877,4.257031782402507,-0.02141745941744759
ABBV,196.30999755859375,3.635879621984458,5.908433664383104,6.8552371886140975,10.98862540264094,2.4845826172290577,-25.177576752525937,19.612523495091693,0.0242986068558292
CMCSA,39.56999969482422,0.8300348987084263,1.2443205997798061,1.4504237855915747,2.0242790471999057,0.6107335241487098,-4.7471404487311375,15.757340824669285,0.018311544995930323
NFLX,701.3499755859375,19.9597158897393,31.427641606448624,35.00804337696877,55.64211327704831,14.033552459156722,-243.1800946401449,166.65057608182644,-0.4075471094326608
ABT,113.2699966430664,2.160192240312824,3.2971988597083763,3.7028853671255604,5.576162051676796,1.4974757376143553,-16.22410242556697,25.63044718586164,-0.06700546684732483
ACN,341.95001220703125,6.453941411679182,9.632841379883075,10.761307940768518,16.027719846341142,4.753169626171456,-65.22109107340691,41.918601908391054,0.4082658344186964
COST,892.3800048828125,15.76025140879392,22.88811343315866,26.10287728879382,36.9844088784405,10.571004463651475,-88.04473085597533,75.44921649809714,0.47932349316419903
CRM,252.89999389648438,6.779577092894954,11.317912943177944,12.878767943409258,21.53135227300938,5.079029608513998,-70.56109192680532,52.31145357638104,0.00304777162662308
INTC,22.040000915527344,0.86150187754928,1.4067687709822807,1.742591412462101,2.5074446148078047,0.6082664069508319,-4.908107867685473,3.9951668322256815,0.02281011585453079
WFC,58.470001220703125,1.3136015394739928,1.8741900050307454,2.146505464293398,3.065115005662376,0.8789033408894801,-8.3994057718348,7.9448756431968945,0.01500242772988776
VZ,41.779998779296875,0.9089074885022512,1.370648717093864,1.5051126833084396,2.279835997700725,0.5747179899497477,-9.969305801662234,4.4539299399296794,-0.02056474118420694
PYPL,72.43000030517578,2.475330249692348,3.435684866795374,4.016812779717981,5.149439589248645,1.5692483595799067,-12.193121997491062,17.730633814142138,-0.03488017151370292
WMT,77.2300033569336,1.285122246563816,2.0529945089422905,2.3911222989238894,3.764195274257328,0.8712312019319495,-10.859954853284677,9.099649636318816,-0.029667026670975247
QCOM,174.39874267578125,6.000980671221328,8.297862774832588,9.373619224883527,12.83786010992797,3.8700689160869284,-38.33128332899474,22.158683287423372,0.08697908750165576
MRK,118.44999694824219,2.0098000031156573,3.2312910230748373,3.9471477824336034,5.849020926318251,1.4599443834270025,-15.54209175996273,18.507028910883236,-0.0036826988809526254
LLY,960.02001953125,28.581241710130143,43.98878661520686,53.673429875930765,74.52885861627006,18.8897174324174,-172.84021613127197,171.75488087995723,-1.019893530897677
MCD,286.9900207519531,5.108663026120439,7.055938719406714,8.189566383287286,10.506935838943042,3.2414092945104436,-34.781835220619115,22.65269850904025,0.014356366753427989
T,19.899999618530273,0.41905970990069363,0.6209880199642157,0.7531968721244269,0.98749187914592,0.27526291559918464,-2.431630346003061,1.8000729138850993,-0.005170616186013402
NKE,82.94999694824219,2.0352567383493607,3.389347203479327,3.965242582229166,6.290335995265442,1.5683018201176744,-29.654963175494984,19.058813511909676,0.10434590334805006
DHR,269.30999755859375,6.264646763205292,8.761067868455445,10.116595663921714,13.580068887566213,4.066343839686286,-34.168466223592986,66.73144316135415,-0.22713649786968662
LOW,248.5,5.7331509365459965,8.340313592613082,9.47108548206603,13.136151781124825,3.849427170188113,-29.70160862385856,57.494214716482816,-0.12517471588693366
LIN,476.8476867675781,6.875043916256914,10.874769007542582,12.826918812617862,19.04575245541379,4.841852356880469,-39.92113223648181,65.94944097163204,-0.08121715594669955
TXN,214.33999633789062,5.466311738609988,7.449819676748915,8.403238104168764,10.687652890966012,3.4477745514626807,-46.848883061438386,16.427527801933053,-0.034465280778605195
NEE,80.51000213623047,2.295505193629495,3.785010765437031,4.409402267908675,6.720777630718478,2.0179227921835485,-26.278428724578653,70.34873819042534,0.06242163300477679
AMD,148.55999755859375,7.098851137970911,9.663040447541121,11.309017902421743,14.497845936737457,4.457774359189991,-29.92974160850271,34.46687033721241,-0.03978702921237344
UNP,256.0899963378906,4.5658029013267765,6.076710542472452,7.023199161182987,8.451871258125536,2.8199919759063494,-13.110849559364596,16.694861999744887,-0.08652327022978482
PM,123.29000091552734,2.041727804800317,2.840820311780933,3.2573462129880255,4.436150039844329,1.2876928619566783,-12.576645475848196,7.605409431409214,-0.04952240546359258
INTU,630.260009765625,15.620196228582131,22.84927558162261,27.18799875888749,37.569246018366826,10.567549656546671,-90.45810575972178,95.14601186503387,0.7657078551747711
UPS,128.5500030517578,2.9272451594056292,4.638754711447509,5.508655501706613,7.665920353161393,2.078207498839829,-21.48471487869419,22.888792055756397,0.07626257413133639
HON,207.91000366210938,3.3260816149575305,4.494806693599839,5.1655611203890714,6.512064980650427,2.103234626271729,-11.02020036053176,10.362431657427862,0.049239828398854976
MS,103.61000061035156,2.458492345575067,3.463199228189094,4.272621258846584,5.335012843910899,1.5924089476796468,-9.690482910465434,11.82329005472576,0.012832080271128673
MDT,88.58000183105469,1.6814837120037112,2.384615696887197,2.8516994090480523,3.6875304422786828,1.0644454715036278,-11.387946623548913,10.304335011117942,-0.004117448246103507
BMY,49.95000076293945,1.1660228706068025,1.9134677989390256,2.1785493504760467,3.5718964849407,0.8247919088402925,-11.641572760033853,8.281573058527918,-0.017045803828179166
AMAT,197.25999450683594,7.67019844551956,10.792857187130943,12.401667328655975,16.381492125258276,4.8510694493415345,-44.74284322882167,31.353490105591135,-0.08193558065330699
ORCL,141.2899932861328,3.4834231292362574,5.4475161684207,6.306082258857259,9.945860446244538,3.0586867808277796,-34.139144786718745,110.92772798602431,0.0314522314219
SCHW,65.0999984741211,1.7711851385686472,2.8818430491420783,3.4352528032549685,5.30389855411078,1.4083756550123754,-18.964258948451608,35.5237808988672,-0.04048215451902405
CVS,57.2400016784668,1.4083072354058785,2.316892296634204,2.748105782270912,4.195813237382772,0.9755586770486491,-10.708785797553098,5.578683155206882,0.039500944333774636
RTX,123.33999633789062,2.166916820968794,3.611835380299953,4.212968807469835,6.791251322407321,1.5610516488045436,-22.68894651094932,19.04876471142137,-0.09357305403912629
C,62.63999938964844,1.5351683568071195,2.1140604924596897,2.4774254515480436,3.0714362341905406,0.9638218904977813,-5.584203707739036,12.837852813167032,-0.031857994278914475
GS,510.25,11.925782374238906,15.75826486830784,18.074293491092533,22.252931507521442,7.208945179678083,-45.11998057073765,80.01762460295618,-0.3106828517563012
AMGN,333.8299865722656,7.413844279711213,11.614812650123943,13.23266513280322,20.503411160908513,5.0473082473654705,-59.81740336165478,51.34892101991176,-0.16959927155689605
BLK,896.5046997070312,17.80652715600479,22.9979348507595,26.128462224714212,30.705065229605044,10.87558887650751,-42.77374180441598,48.92884085218873,-0.15269979522512722
BA,173.74000549316406,5.426495985639065,7.966492385121081,9.443063696336054,13.074981503136819,3.518799907016678,-27.479779193044436,31.473859661509664,0.08963288027675646
CAT,356.1000061035156,8.694790435441973,12.075863523822507,13.783266970433829,18.673777871595608,5.610156497402788,-32.62934901057889,39.31571552483308,0.23457389219089722
IBM,202.1300048828125,3.819415765305081,5.332425313071052,5.942363277222171,8.29775504869379,2.5669214818221033,-20.983274319980637,43.18042726594422,-0.0934364135694137
SBUX,94.56999969482422,2.3611989300393645,4.129334280798563,4.710900240611139,8.572104216693827,1.919132156185999,-24.15934418089337,34.10006303768981,-0.08877190798834483
AMT,224.05999755859375,5.928748718149734,8.441985263580117,9.537355425887881,12.862360710362267,3.7291422958106097,-33.130073716403984,28.129582158245142,-0.21676632219038625
GE,174.6199951171875,4.899308491161065,7.036654233212367,8.214243685557733,10.990631008572006,3.0919819599303304,-22.15472934483884,35.63060365574589,-0.20260423016268161
ISRG,492.6300048828125,12.85858854097836,18.732272645454852,20.33866136398848,31.2978848738028,8.213758536808452,-78.285718888009,54.991721988064114,-0.3808108841064056
COP,113.79000091552734,2.5586257360438935,3.415102026144241,3.8796371064505735,4.929826668422441,1.5613868473365078,-8.816303269253211,8.764756604057993,-0.009759214540326062
TGT,153.6199951171875,4.562323009159172,7.0527821968130455,8.320738367105662,12.174347440590564,3.0176961763931147,-34.90427524484143,27.3220024463146,-0.24618661806567574
AXP,258.6499938964844,5.24389500592963,7.6987517931975304,8.969616291861655,12.136910415465238,3.546773680387412,-23.946403998892407,23.35955269489739,0.09390980520010259
DE,385.739990234375,8.837144840973622,13.026764625118044,14.852841696082749,21.68636676418883,5.759077867700682,-45.79766032004028,30.705913735290494,0.08017394688054488
MU,96.23999786376953,4.039889307713338,5.583302436125604,6.31868877260068,8.169622616970955,2.5312176305893135,-18.660432027610668,17.120088967074665,-0.08852873172454354
SPGI,513.239990234375,8.95078009815262,12.289399308228797,14.255349001900925,18.633463108178823,5.567993675161976,-36.404927904305566,29.177950733918465,0.05995401236545653
MMM,134.69000244140625,3.4207242479193383,6.235901760208828,7.49257690166138,13.026592498649029,2.6414015342109365,-52.516696757948964,31.36195528533304,-0.2544896472775335
NOW,855.0,25.704706022478376,40.10193527071035,46.727287866169945,68.69151317188165,18.409224848543605,-137.90992138009756,331.04881876784407,0.22880064511611795
BKNG,3900.185302734375,89.66915435877581,139.36559033839205,160.48257163230255,244.05248250476973,68.48114827691339,-1367.986936840788,1783.421221421887,2.8433903774414895
F,11.1899995803833,0.36674305835615506,0.5361297374808918,0.6273107971186995,0.8619585053059441,0.2483836398655331,-2.2782430299247327,2.257009191773374,0.008127922918410357
ADP,274.52252197265625,4.016101087389018,6.546150722791264,7.718382813827645,11.554113707729185,3.103027899253653,-41.02764901439966,54.23578202893043,0.22893676948566657
ZTS,183.49000549316406,4.544733509655572,6.631488659265653,7.563703550209823,10.47883856969851,2.9113658066757684,-17.54690100671968,23.692880249751056,-0.030310201508825036
LRCX,821.010009765625,31.388162968445158,43.61900744797188,51.01802577592218,62.91576424896139,20.004299615886254,-135.97720726155842,102.34477294862995,0.018979738973820805
PNC,185.08999633789062,4.804439748625555,6.831655842287536,7.6724887338656345,10.523829167319086,3.0589727795054578,-23.01999036967868,15.609799374013875,-0.0870208637690196
MDLZ,71.80999755859375,1.2469699413503008,1.729442918248029,1.9696167986119804,2.5407805030488815,0.7929960823870724,-4.38133612236571,3.97564010354003,0.012524791570959419
MO,53.77000045776367,0.8261450630404141,1.3140966669573535,1.5357879607891078,2.2962696178845623,0.6074153407317132,-6.368243301773241,8.730936623594573,0.01424176175285638
ADI,233.9199981689453,6.900185575833717,8.882047674739331,10.142535993637637,12.068692268802236,4.287967651129916,-17.710428473612637,27.293590677282225,0.0002203021514852992
GILD,78.26851654052734,1.703379107365933,2.540390027592035,2.9899215279413056,3.9774303480794995,1.1197461521827354,-7.69546035013218,8.306400229473027,0.0098869658286189
LMT,564.9500122070312,8.692747918331293,13.612129174341339,15.75589749617859,23.171670404538517,5.532938342528215,-53.66358520412996,41.06300969898507,-0.33266952173203906
SYK,360.4200134277344,7.549035571287618,11.963036340264557,14.305458328838597,20.55213226846605,5.117112234072263,-48.5355888812428,49.49541312228695,-0.11576554390853473
GM,49.65593719482422,1.4931588172711017,2.1751926337769842,2.559012107420159,3.3948301349881134,0.9674437646971692,-6.524354775099113,8.541940464742389,-0.02292878579210744
TFC,44.459999084472656,1.3609494324796643,1.7488027707868115,1.9964557551895368,2.339949040747966,0.8168669793642395,-3.6010801597854254,4.112860910154957,-0.031005954206893647
TJX,117.2699966430664,1.940229481218239,2.742655492185837,3.224453361225926,4.160629202675134,1.2278694876892944,-7.726532571608743,7.110577182913701,-0.0163381834948431
Total,27880.75522327423,364.97138795591394,464.10752201111256,518.5663382606045,616.1637848631358,225.72830243707674,-1563.8473092365916,1769.4123830970425,0.41744542564677284
